Test Company,Ideal Company,Non-Ideal Company,Difference
1800flowers.com,0.1329936619558265,0.33667625267404727,-0.20368259071822079
interes,0.0,0.0,0.0
24hourfitness.com,0.1540679708689984,0.440177452685693,-0.2861094818166946
24seventalent.com,0.15399861634109904,0.3179171322972679,-0.16391851595616888
2degreesmobile.co.nz,0.1219920085941648,0.28646078071813497,-0.16446877212397015
2sfg.com,0.16889674935347915,0.19073586921738606,-0.02183911986390691
ntments,0.0,0.0,0.0
2u.com,0.3072266088149468,0.20187688668417622,0.10534972213077057
3ds.com,0.2220967292644263,0.2530381047454942,-0.0309413754810679
3dsystems.com,0.11819000304652807,0.09995153850330178,0.018238464543226293
s explo,0.0,0.0,0.0
7-eleven.com,0.08023172170140208,0.3171586664917511,-0.23692694479034904
a2dominion.co.uk,0.13417016640983048,0.2618930063165989,-0.12772283990676842
a2ktechnologies.com.au,0.2615484053590426,0.23587243667708388,0.025675968681958733
a9.com,0.15310621101505095,0.10826891799415948,0.04483729302089147
aaa.com,0.1092357281314222,0.30028707875500726,-0.19105135062358508
aaacooper.com,0.09822125080247576,0.0814007220893888,0.016820528713086966
aaalife.com,0.07470565115068067,0.0990909918160883,-0.024385340665407623
ning to,0.0,0.0,0.0
aapt.com.au,0.2624993805895355,0.15198605985346153,0.11051332073607395
aarp.org,0.16819622019793548,0.23406814620300673,-0.06587192600507125
ng foun,0.0,0.0,0.0
ABB.com,0.04311771140870187,0.0,0.04311771140870187
abbott.com,0.22193720749409587,0.2562463910761104,-0.03430918358201454
ott ide,0.0,0.0,0.0
abbvie.com,0.19823141496374846,0.2238224520317483,-0.02559103706799984
abc.net.au,0.15586724712317865,0.33873111600241773,-0.18286386887923908
l vic l,0.0,0.0,0.0
abcam.com,0.15010095101426826,0.1464617624403258,0.0036391885739424645
abdn.ac.uk,0.1941226195370974,0.2752378896986016,-0.08111527016150419
aber.ac.uk,0.1381314851820336,0.20327550063577143,-0.06514401545373782
gol pry,0.0,0.0,0.0
